ClientID,JoinDate,Gender,Married,Birth,MarvelFavoriteCharacter,Occupation,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of Galaxy 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home
4WKQSBB,1/2/2019,F,M,1987,MJ,politicians,4,2,10,0,6,0,2,9,-1,6,8,-1,4,3,9,10,2,4,8,9,9,-1,10,8,10,1,10
CP5S02H,1/6/2019,F,M,1981,Spider-Man,politicians,-1,9,0,10,-1,-1,1,10,10,2,-1,6,9,0,5,10,1,9,4,-1,9,9,10,9,10,1,10
2YKDILJ,1/6/2013,M,U,1991,Iron Man,hotel/restaurant,10,-1,10,-1,-1,4,10,-1,-1,4,1,2,3,0,9,-1,-1,9,2,7,4,8,6,-1,4,-1,2
2S9E81J,1/8/2019,M,M,1990,MJ,shopkeepers,10,5,7,-1,-1,0,-1,9,10,6,2,-1,3,2,3,10,5,0,9,4,-1,9,10,-1,9,-1,10
BHDYVFT,1/8/2019,M,M,1990,Iron Man,politicians,10,2,10,2,4,1,10,0,1,2,-1,5,8,3,8,3,-1,-1,8,-1,8,2,2,4,1,9,7
2ZFEPSR,1/9/2010,F,U,1981,Iron Man,politicians,10,4,10,-1,8,-1,10,4,1,-1,10,5,8,-1,6,6,-1,6,3,-1,1,-1,2,3,1,7,4
IJTBZFM,1/9/2019,M,M,1984,Iron Man,politicians,10,4,10,3,-1,-1,10,3,-1,9,6,6,-1,2,5,6,7,9,0,1,-1,6,-1,4,-1,9,5
6ZOZFNF,1/5/2017,F,M,1977,Captain America,politicians,7,10,0,4,10,-1,-1,6,10,10,-1,3,10,8,9,6,2,8,3,-1,8,5,-1,10,2,-1,1
G4P89ZS,1/5/2018,M,M,1990,Groot,shopkeepers,3,-1,9,2,8,0,10,9,8,10,10,-1,9,1,10,1,10,-1,0,2,2,7,2,9,2,0,0
G05BOWG,1/11/2018,M,M,1995,Groot,politicians,8,10,-1,1,1,3,1,9,6,10,7,0,-1,-1,10,10,-1,-1,3,9,-1,9,7,4,-1,-1,-1
PVWNVLG,1/10/2015,M,M,1985,Loki,politicians,1,9,8,10,8,8,4,10,6,3,9,-1,7,1,2,0,10,3,-1,5,8,9,-1,1,8,6,-1
2RUZE97,1/1/2019,M,M,1994,Iron Man,hotel/restaurant,10,6,10,6,5,9,10,9,1,-1,4,2,3,2,0,0,0,1,2,8,0,-1,10,-1,-1,8,3
0JI1SOP,1/5/2018,M,M,1987,MJ,shopkeepers,-1,5,-1,2,6,-1,4,-1,-1,-1,8,-1,-1,5,-1,10,-1,-1,8,5,2,-1,10,8,1,0,10
R28U7H0,1/2/2017,M,M,1958,Loki,hotel/restaurant,9,9,0,10,5,-1,-1,10,4,10,10,2,-1,4,-1,10,10,-1,-1,-1,-1,6,-1,-1,6,-1,4
R14Y248,1/8/2018,F,M,1986,Groot,hotel/restaurant,-1,7,3,0,8,4,-1,8,-1,10,0,8,3,8,10,9,5,6,6,2,9,10,-1,10,4,6,-1
D713A6Y,1/7/2017,M,M,1959,Iron Man,politicians,10,-1,10,7,1,-1,10,-1,5,7,8,-1,-1,1,9,1,0,6,0,-1,-1,2,8,2,8,-1,1
4IOXDPT,1/6/2020,M,U,1977,Iron Man,politicians,10,7,10,-1,3,6,10,-1,-1,-1,-1,6,1,5,2,-1,9,8,7,3,-1,-1,-1,-1,-1,-1,0
WNUIY36,1/5/2018,M,M,1994,Iron Man,shopkeepers,10,9,10,2,7,9,10,-1,6,-1,-1,9,-1,10,4,7,0,9,0,4,9,2,7,1,9,-1,3
PSG1T6G,1/3/2016,M,M,1984,Loki,politicians,4,-1,-1,10,-1,-1,9,10,5,-1,2,-1,2,3,8,8,10,-1,4,9,6,9,4,1,8,-1,9
3K53G0X,1/6/2017,M,U,1966,Iron Man,politicians,10,-1,10,-1,-1,7,10,-1,2,8,-1,7,1,10,-1,9,9,0,-1,-1,-1,0,-1,-1,2,4,-1
L0TPNYU,1/11/2019,M,M,1965,Thanos,politicians,0,-1,0,10,9,10,8,10,6,-1,10,0,1,3,7,-1,-1,-1,10,10,8,10,-1,0,1,3,-1
ILJVPJC,1/6/2018,M,M,1967,Thanos,politicians,10,6,4,1,2,10,6,1,4,-1,10,-1,5,-1,-1,3,5,-1,10,2,5,10,-1,10,9,6,3
QGBG7A3,1/5/2019,M,M,1984,Captain America,politicians,8,6,5,8,10,-1,2,10,10,2,1,1,10,7,0,10,1,-1,2,2,-1,10,9,2,4,-1,2
